,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
29692,22-Oct-24,,,40,
Tg(hsp70: tcima-3xFlag-EGFP-L1) outx Tg(mpeg 1.1:tdTomato),,,,+/+,
,,,,,
"Lens GFP-, tdTom+",,,,,
